dict-type,find,replace
stop-words,themselves,%STOPWORDS
stop-words,what,%STOPWORDS
stop-words,which,%STOPWORDS
stop-words,who,%STOPWORDS
stop-words,whom,%STOPWORDS
stop-words,this,%STOPWORDS
stop-words,that,%STOPWORDS
stop-words,that'll,%STOPWORDS
stop-words,these,%STOPWORDS
stop-words,those,%STOPWORDS
stop-words,am,%STOPWORDS
stop-words,is,%STOPWORDS
stop-words,are,%STOPWORDS
stop-words,was,%STOPWORDS
stop-words,were,%STOPWORDS
stop-words,be,%STOPWORDS
stop-words,been,%STOPWORDS
stop-words,being,%STOPWORDS
stop-words,have,%STOPWORDS
stop-words,has,%STOPWORDS
stop-words,had,%STOPWORDS
stop-words,having,%STOPWORDS
stop-words,do,%STOPWORDS
stop-words,does,%STOPWORDS
stop-words,did,%STOPWORDS
stop-words,doing,%STOPWORDS
stop-words,a,%STOPWORDS
stop-words,an,%STOPWORDS
stop-words,the,%STOPWORDS
stop-words,and,%STOPWORDS
stop-words,but,%STOPWORDS
stop-words,if,%STOPWORDS
stop-words,or,%STOPWORDS
stop-words,because,%STOPWORDS
stop-words,as,%STOPWORDS
stop-words,until,%STOPWORDS
stop-words,while,%STOPWORDS
stop-words,of,%STOPWORDS
stop-words,at,%STOPWORDS
stop-words,by,%STOPWORDS
stop-words,for,%STOPWORDS
stop-words,with,%STOPWORDS
stop-words,about,%STOPWORDS
stop-words,against,%STOPWORDS
stop-words,between,%STOPWORDS
stop-words,into,%STOPWORDS
stop-words,through,%STOPWORDS
stop-words,during,%STOPWORDS
stop-words,before,%STOPWORDS
stop-words,after,%STOPWORDS
stop-words,above,%STOPWORDS
stop-words,below,%STOPWORDS
stop-words,to,%STOPWORDS
stop-words,from,%STOPWORDS
stop-words,up,%STOPWORDS
stop-words,down,%STOPWORDS
stop-words,in,%STOPWORDS
stop-words,out,%STOPWORDS
stop-words,on,%STOPWORDS
stop-words,off,%STOPWORDS
stop-words,over,%STOPWORDS
stop-words,under,%STOPWORDS
stop-words,again,%STOPWORDS
stop-words,further,%STOPWORDS
stop-words,then,%STOPWORDS
stop-words,once,%STOPWORDS
stop-words,here,%STOPWORDS
stop-words,there,%STOPWORDS
stop-words,when,%STOPWORDS
stop-words,where,%STOPWORDS
stop-words,why,%STOPWORDS
stop-words,how,%STOPWORDS
stop-words,all,%STOPWORDS
stop-words,any,%STOPWORDS
stop-words,both,%STOPWORDS
stop-words,each,%STOPWORDS
stop-words,few,%STOPWORDS
stop-words,more,%STOPWORDS
stop-words,most,%STOPWORDS
stop-words,other,%STOPWORDS
stop-words,some,%STOPWORDS
stop-words,such,%STOPWORDS
stop-words,no,%STOPWORDS
stop-words,nor,%STOPWORDS
stop-words,not,%STOPWORDS
stop-words,only,%STOPWORDS
stop-words,own,%STOPWORDS
stop-words,same,%STOPWORDS
stop-words,so,%STOPWORDS
stop-words,than,%STOPWORDS
stop-words,too,%STOPWORDS
stop-words,very,%STOPWORDS
stop-words,s,%STOPWORDS
stop-words,t,%STOPWORDS
stop-words,can,%STOPWORDS
stop-words,will,%STOPWORDS
stop-words,just,%STOPWORDS
stop-words,don,%STOPWORDS
stop-words,don't,%STOPWORDS
stop-words,should,%STOPWORDS
stop-words,should've,%STOPWORDS
stop-words,now,%STOPWORDS
stop-words,d,%STOPWORDS
stop-words,ll,%STOPWORDS
stop-words,m,%STOPWORDS
stop-words,o,%STOPWORDS
stop-words,re,%STOPWORDS
stop-words,ve,%STOPWORDS
stop-words,y,%STOPWORDS
stop-words,ain,%STOPWORDS
stop-words,aren,%STOPWORDS
stop-words,aren't,%STOPWORDS
stop-words,couldn,%STOPWORDS
stop-words,couldn't,%STOPWORDS
stop-words,didn,%STOPWORDS
stop-words,didn't,%STOPWORDS
stop-words,doesn,%STOPWORDS
stop-words,doesn't,%STOPWORDS
stop-words,hadn,%STOPWORDS
stop-words,hadn't,%STOPWORDS
stop-words,hasn,%STOPWORDS
stop-words,hasn't,%STOPWORDS
stop-words,haven,%STOPWORDS
stop-words,haven't,%STOPWORDS
stop-words,isn,%STOPWORDS
stop-words,isn't,%STOPWORDS
stop-words,ma,%STOPWORDS
stop-words,mightn,%STOPWORDS
stop-words,mightn't,%STOPWORDS
stop-words,mustn,%STOPWORDS
stop-words,mustn't,%STOPWORDS
stop-words,needn,%STOPWORDS
stop-words,needn't,%STOPWORDS
stop-words,shan,%STOPWORDS
stop-words,shan't,%STOPWORDS
stop-words,shouldn,%STOPWORDS
stop-words,shouldn't,%STOPWORDS
stop-words,wasn,%STOPWORDS
stop-words,wasn't,%STOPWORDS
stop-words,weren,%STOPWORDS
stop-words,weren't,%STOPWORDS
stop-words,won,%STOPWORDS
stop-words,won't,%STOPWORDS
stop-words,wouldn,%STOPWORDS
stop-words,wouldn't,%STOPWORDS
lemmatize,first,1
lemmatize,tenth,10
lemmatize,hundredth,100
lemmatize,thousandth,1000
lemmatize,millionth,1000000
lemmatize,billionth,1000000000
lemmatize,eleventh,11
lemmatize,twelfth,12
lemmatize,thirteenth,13
lemmatize,fourteenth,14
lemmatize,fifteenth,15
lemmatize,sixteenth,16
lemmatize,seventeenth,17
lemmatize,eighteenth,18
lemmatize,nineteenth,19
lemmatize,second,2
lemmatize,twentieth,20
lemmatize,two-hundredth,200
lemmatize,twenty-first,21
lemmatize,twenty-second,22
lemmatize,twenty-third,23
lemmatize,twenty-fourth,24
lemmatize,twenty-fifth,25
lemmatize,twenty-sixth,26
lemmatize,twenty-seventh,27
lemmatize,twenty-eighth,28
lemmatize,twenty-ninth,29
lemmatize,third,3
lemmatize,thirtieth,30
lemmatize,three-hundredth,300
lemmatize,thirty-first,31
lemmatize,thirty-second,32
lemmatize,thirty-third,33
lemmatize,thirty-fourth,34
lemmatize,thirty-fifth,35
lemmatize,thirty-sixth,36
lemmatize,thirty-seventh,37
lemmatize,thirty-eighth,38
lemmatize,thirty-ninth,39
lemmatize,fourth,4
lemmatize,fortieth,40
lemmatize,four-hundredth,400
lemmatize,forty-first,41
lemmatize,forty-second,42
lemmatize,forty-third,43
lemmatize,forty-fourth,44
lemmatize,forty-fifth,45
lemmatize,forty-sixth,46
lemmatize,forty-seventh,47
lemmatize,forty-eighth,48
lemmatize,forty-ninth,49
lemmatize,fifth,5
lemmatize,fiftieth,50
lemmatize,five-hundredth,500
lemmatize,fifty-first,51
lemmatize,fifty-second,52
lemmatize,fifty-third,53
lemmatize,fifty-fourth,54
lemmatize,fifty-fifth,55
lemmatize,fifty-sixth,56
lemmatize,fifty-seventh,57
lemmatize,fifty-eighth,58
lemmatize,fifty-ninth,59
lemmatize,sixth,6
lemmatize,sixtieth,60
lemmatize,six-hundredth,600
lemmatize,sixty-first,61
lemmatize,sixty-second,62
lemmatize,sixty-third,63
lemmatize,sixty-fourth,64
lemmatize,sixty-fifth,65
lemmatize,sixty-sixth,66
lemmatize,sixty-seventh,67
lemmatize,sixty-eighth,68
lemmatize,sixty-ninth,69
lemmatize,seventh,7
lemmatize,seventieth,70
lemmatize,seven-hundredth,700
lemmatize,seventy-first,71
lemmatize,seventy-second,72
lemmatize,seventy-third,73
lemmatize,seventy-fourth,74
lemmatize,seventy-fifth,75
lemmatize,seventy-sixth,76
lemmatize,seventy-seventh,77
lemmatize,seventy-eighth,78
lemmatize,seventy-ninth,79
lemmatize,eighth,8
lemmatize,eightieth,80
lemmatize,eight-hundredth,800
lemmatize,eighty-first,81
lemmatize,eighty-second,82
lemmatize,eighty-third,83
lemmatize,eighty-fourth,84
lemmatize,eighty-fifth,85
lemmatize,eighty-sixth,86
lemmatize,eighty-seventh,87
lemmatize,eighty-eighth,88
lemmatize,eighty-ninth,89
lemmatize,ninth,9
lemmatize,ninetieth,90
lemmatize,nine-hundredth,900
lemmatize,ninety-first,91
lemmatize,ninety-second,92
lemmatize,ninety-third,93
lemmatize,ninety-fourth,94
lemmatize,ninety-fifth,95
lemmatize,ninety-sixth,96
lemmatize,ninety-seventh,97
lemmatize,ninety-eighth,98
lemmatize,ninety-ninth,99
lemmatize,an,a
lemmatize,as,a
lemmatize,aardvarks,aardvark
lemmatize,abs,ab
lemmatize,abaci,abacus
lemmatize,abacuses,abacus
lemmatize,abalones,abalone
lemmatize,abandoned,abandon
lemmatize,abandoning,abandon
lemmatize,abandons,abandon
lemmatize,abased,abase
lemmatize,abases,abase
lemmatize,abasing,abase
lemmatize,abashed,abash
lemmatize,abashes,abash
lemmatize,abashing,abash
lemmatize,abated,abate
lemmatize,abates,abate
lemmatize,abating,abate
